profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
core_9-0-0,Acquisition,Accession date,Acquisition Information,"",n,n/a,"","",acquisition,accessionDateGroup
core_9-0-0,Acquisition,Acquisition date,Acquisition Information,"",y,n,"","",acquisition,acquisitionDateGroup
core_9-0-0,Citation,Publication date,Citation Information,"",n,y,"","",citation,publicationDate
core_9-0-0,Citation,Resource identifier capture date,Citation Information,"",n,y,"","",citation,captureDate
core_9-0-0,Chronology,Primary date range,Chronology Information,"",n,n/a,"","",chronology,primaryDateRangeStructuredDateGroup
core_9-0-0,Chronology,Alternative date range,Alternative Date Information,"",n,y,"","",chronology,altDateRangeStructuredDateGroup
core_9-0-0,Chronology,Associated person date,Associated Authorities,"",n,y,"","",chronology,assocPersonStructuredDateGroup
core_9-0-0,Chronology,Associated people date,Associated Authorities,"",n,y,"","",chronology,assocPeopleStructuredDateGroup
core_9-0-0,Chronology,Associated organization date,Associated Authorities,"",n,y,"","",chronology,assocOrganizationStructuredDateGroup
core_9-0-0,Chronology,Associated concept date,Associated Authorities,"",n,y,"","",chronology,assocConceptStructuredDateGroup
core_9-0-0,Chronology,Associated place date,Associated Authorities,"",n,y,"","",chronology,assocPlaceStructuredDateGroup
core_9-0-0,Chronology,Associated event/era date,Associated Authorities,"",n,y,"","",chronology,assocChronologyStructuredDateGroup
core_9-0-0,Object,Content date,Object Description Information,Content,n,n/a,"","",collectionobject,contentDateGroup
core_9-0-0,Object,Textual inscription date,Object Description Information,Textual Inscription,n,y,"","",collectionobject,inscriptionContentDateGroup
core_9-0-0,Object,Non-textual inscription date,Object Description Information,Non-Textual Inscription,n,y,"","",collectionobject,inscriptionDescriptionDateGroup
core_9-0-0,Object,Production date,Object Production Information,"",y,n,"","",collectionobject,objectProductionDateGroup
core_9-0-0,Object,Associated date value,Object History and Association Information,Associations,n,y,"","",collectionobject,assocStructuredDateGroup
core_9-0-0,Object,Ownership date,Object History and Association Information,"",y,n,"","",collectionobject,ownershipDateGroup
core_9-0-0,Object,Field collection date,Object Collection Information,"",n,n/a,"","",collectionobject,fieldCollectionDateGroup
core_9-0-0,Exhibition,Gallery rotation start date,Exhibition Information,"",n,y,"","",exhibition,galleryRotationStartDateGroup
core_9-0-0,Exhibition,Gallery rotation end date,Exhibition Information,"",n,y,"","",exhibition,galleryRotationEndDateGroup
core_9-0-0,Media Handling,Date,Media Handling Information,"",y,n,"","",media,dateGroup
core_9-0-0,Object Exit,Exit date,Object Exit Information,"",n,n/a,"","",objectexit,exitDateGroup
core_9-0-0,Organization,Foundation date,Organization Information,"",n,n/a,"","",organization,foundingDateGroup
core_9-0-0,Organization,Dissolution date,Organization Information,"",n,n/a,"","",organization,dissolutionDateGroup
core_9-0-0,Organization,Contact date,Organization Information,"",n,y,"","",organization,contactDateGroup
core_9-0-0,Organization,Contact end date,Organization Information,"",n,y,"","",organization,contactEndDateGroup
core_9-0-0,Person,Birth date,Person Information,"",n,n/a,"","",person,birthDateGroup
core_9-0-0,Person,Death date,Person Information,"",n,n/a,"","",person,deathDateGroup
core_9-0-0,Person,Birth date supplied,Maker-Supplied Identity Information,"",n,y,"","",person,suppliedStructuredBirthDateGroup
core_9-0-0,Person,Associated person date,Associated Authorities,"",n,y,"","",person,assocPersonStructuredDateGroup
core_9-0-0,Person,Associated people date,Associated Authorities,"",n,y,"","",person,assocPeopleStructuredDateGroup
core_9-0-0,Person,Associated organization date,Associated Authorities,"",n,y,"","",person,assocOrganizationStructuredDateGroup
