ui_info_group,ui_path,ui_field_label,data_source,repeats,group_repeats
Object Description Information,Content,Content description,"",n,n/a
Object Description Information,Content,Content language,vocabulary: languages,y,n
Object Description Information,Content,Content activity,"",y,n
Object Description Information,Content,Content concept,authority: concept/associated; authority: concept/material,y,n
Object Description Information,Content,Content position,option list: positions,y,n
Object Description Information,Content > Content object,Content object name,"",n,y
Object Description Information,Content > Content object,Content object type,option list: contentObjectTypes,n,y
Object Description Information,Content,Content people,"",y,n
Object Description Information,Content,Content person,authority: person/local; authority: person/ulan,y,n
Object Description Information,Content,Content place,authority: place/local; authority: place/tgn,y,n
Object Description Information,Content,Content script,option list: scripts,y,n
Object Description Information,Content,Content organization,authority: organization/local; authority: organization/ulan,y,n
Object Description Information,Content > Content event,Content event name,"",n,y
Object Description Information,Content > Content event,Content event type,"",n,y
Object Description Information,Content > Content other,Content other name,"",n,y
Object Description Information,Content > Content other,Content other type,"",n,y
Object Description Information,Content,Content note,"",n,n/a
Object History and Association Information,Associations > Associated activity,Associated activity,"",n,y
Object History and Association Information,Associations > Associated activity,Associated activity type,"",n,y
Object History and Association Information,Associations > Associated activity,Associated activity note,"",n,y
Object History and Association Information,Associations > Associated object,Associated object,"",n,y
Object History and Association Information,Associations > Associated object,Associated object type,"",n,y
Object History and Association Information,Associations > Associated object,Associated object note,"",n,y
Object History and Association Information,Associations > Associated concept,Associated concept,authority: concept/associated,n,y
Object History and Association Information,Associations > Associated concept,Associated concept type,"",n,y
Object History and Association Information,Associations > Associated concept,Associated concept note,"",n,y
Object History and Association Information,Associations > Associated cultural affinity,Associated cultural affinity,"",n,y
Object History and Association Information,Associations > Associated cultural affinity,Associated cultural affinity type,"",n,y
Object History and Association Information,Associations > Associated cultural affinity,Associated cultural affinity note,"",n,y
Object History and Association Information,Associations > Associated organization,Associated organization,authority: organization/local,n,y
Object History and Association Information,Associations > Associated organization,Associated organization type,"",n,y
Object History and Association Information,Associations > Associated organization,Associated organization note,"",n,y
Object History and Association Information,Associations > Associated people,Associated people,"",n,y
Object History and Association Information,Associations > Associated people,Associated people type,"",n,y
Object History and Association Information,Associations > Associated people,Associated people note,"",n,y
Object History and Association Information,Associations > Associated person,Associated person,authority: person/local,n,y
Object History and Association Information,Associations > Associated person,Associated person type,"",n,y
Object History and Association Information,Associations > Associated person,Associated person note,"",n,y
Object History and Association Information,Associations > Associated place,Associated place,"",n,y
Object History and Association Information,Associations > Associated place,Associated place type,"",n,y
Object History and Association Information,Associations > Associated place,Associated place note,"",n,y
Object History and Association Information,Associations > Associated event,Associated event,"",n,n/a
Object History and Association Information,Associations > Associated event,Associated event type,"",n,n/a
Object History and Association Information,Associations,Associated event organization,authority: organization/local,y,n
Object History and Association Information,Associations,Associated event people,"",y,n
Object History and Association Information,Associations,Associated event person,authority: person/local,y,n
Object History and Association Information,Associations,Associated event place,"",y,n
Object History and Association Information,Associations,Associated event note,"",n,n/a
Object History and Association Information,Associations > Associated date,Associated date value,"",n,y
Object History and Association Information,Associations > Associated date,Associated date type,"",n,y
Object History and Association Information,Associations > Associated date,Associated date note,"",n,y
